ortho,gene,type
N0.HOG0028901,CHCH2,oxidative
N0.HOG0010813,CY24B,oxidative
N0.HOG0026265,NCF2,oxidative
N0.HOG0027797,PDK3,oxidative
N0.HOG0019019,PSB5,oxidative
N0.HOG0029360,SESN1,oxidative
N0.HOG0026487,STOX1,oxidative
N0.HOG0026156,Y3154,oxidative
N0.HOG0027603,SAL.1,receptor
N0.HOG0026243,SAL.2,receptor
N0.HOG0024534,SML,receptor
